buildingID,zip,,floorarea.SF,buildingtype.STR
cbe_06,94720,us,311786,office
,,,,
LocalDateTime,EnergyConsumption,,,
1/4/2007 9:30,119.52,,,
1/4/2007 9:45,181.8,,,
1/4/2007 10:00,182.88,,,
1/4/2007 10:15,181.26,,,
1/4/2007 10:30,181.62,,,
1/4/2007 10:45,183.78,,,
1/4/2007 11:00,182.88,,,
1/4/2007 11:15,182.52,,,
1/4/2007 11:30,184.14,,,
1/4/2007 11:45,181.98,,,
1/4/2007 12:00,181.8,,,
1/4/2007 12:15,185.58,,,
1/4/2007 12:30,179.82,,,
1/4/2007 12:45,176.58,,,
1/4/2007 13:00,174.78,,,
1/4/2007 13:15,173.16,,,
1/4/2007 13:30,177.12,,,
1/4/2007 13:45,178.2,,,
1/4/2007 14:00,179.46,,,
1/4/2007 14:15,184.68,,,
1/4/2007 14:30,183.24,,,
1/4/2007 14:45,181.26,,,
1/4/2007 15:00,177.84,,,
1/4/2007 15:15,180,,,
1/4/2007 15:30,177.84,,,
1/4/2007 15:45,175.5,,,
1/4/2007 16:00,172.62,,,
1/4/2007 16:15,167.76,,,
1/4/2007 16:30,165.78,,,
1/4/2007 16:45,158.58,,,
1/4/2007 17:00,151.92,,,
1/4/2007 17:15,144,,,
1/4/2007 17:30,140.94,,,
1/4/2007 17:45,137.52,,,
1/4/2007 18:00,129.24,,,
1/4/2007 18:15,110.88,,,
1/4/2007 18:30,110.52,,,
1/4/2007 18:45,111.78,,,
1/4/2007 19:00,113.4,,,
1/4/2007 19:15,107.28,,,
1/4/2007 19:30,107.82,,,
1/4/2007 19:45,110.88,,,
1/4/2007 20:00,111.06,,,
1/4/2007 20:15,104.76,,,
1/4/2007 20:30,103.14,,,
1/4/2007 20:45,99.72,,,
1/4/2007 21:00,93.96,,,
1/4/2007 21:15,92.52,,,
1/4/2007 21:30,94.32,,,
1/4/2007 21:45,89.28,,,
1/4/2007 22:00,90.18,,,
1/4/2007 22:15,96.48,,,
1/4/2007 22:30,94.86,,,
1/4/2007 22:45,89.1,,,
1/4/2007 23:00,86.76,,,
1/4/2007 23:15,86.22,,,
1/4/2007 23:30,87.3,,,
1/4/2007 23:45,86.04,,,
1/5/2007 0:00,85.32,,,
1/5/2007 0:15,63.54,,,
1/5/2007 0:30,61.74,,,
1/5/2007 0:45,61.56,,,
1/5/2007 1:00,61.38,,,
1/5/2007 1:15,61.2,,,
1/5/2007 1:30,60.12,,,
1/5/2007 1:45,62.64,,,
1/5/2007 2:00,60.12,,,
1/5/2007 2:15,59.58,,,
1/5/2007 2:30,60.84,,,
1/5/2007 2:45,61.38,,,
1/5/2007 3:00,56.16,,,
1/5/2007 3:15,64.8,,,
1/5/2007 3:30,64.62,,,
1/5/2007 3:45,65.7,,,
1/5/2007 4:00,63.18,,,
1/5/2007 4:15,64.08,,,
1/5/2007 4:30,64.8,,,
1/5/2007 4:45,67.32,,,
1/5/2007 5:00,67.5,,,
1/5/2007 5:15,66.6,,,
1/5/2007 5:30,68.58,,,
1/5/2007 5:45,72.54,,,
1/5/2007 6:00,91.98,,,
1/5/2007 6:15,115.92,,,
1/5/2007 6:30,118.8,,,
1/5/2007 6:45,121.86,,,
1/5/2007 7:00,125.82,,,
1/5/2007 7:15,128.34,,,
1/5/2007 7:30,131.94,,,
1/5/2007 7:45,138.24,,,
1/5/2007 8:00,142.56,,,
1/5/2007 8:15,148.5,,,
1/5/2007 8:30,155.34,,,
1/5/2007 8:45,160.38,,,
1/5/2007 9:00,164.7,,,
1/5/2007 9:15,167.76,,,
1/5/2007 9:30,168.48,,,
1/5/2007 9:45,170.28,,,
1/5/2007 10:00,172.26,,,
1/5/2007 10:15,171.54,,,
1/5/2007 10:30,171.18,,,
1/5/2007 10:45,166.32,,,
1/5/2007 11:00,166.32,,,
1/5/2007 11:15,164.34,,,
1/5/2007 11:30,167.22,,,
1/5/2007 11:45,168.3,,,
1/5/2007 12:00,170.28,,,
1/5/2007 12:15,169.02,,,
1/5/2007 12:30,166.5,,,
1/5/2007 12:45,165.24,,,
1/5/2007 13:00,166.32,,,
1/5/2007 13:15,166.5,,,
1/5/2007 13:30,167.4,,,
1/5/2007 13:45,167.4,,,
1/5/2007 14:00,168.3,,,
1/5/2007 14:15,168.84,,,
1/5/2007 14:30,167.58,,,
1/5/2007 14:45,166.68,,,
1/5/2007 15:00,171.9,,,
1/5/2007 15:15,179.82,,,
1/5/2007 15:30,170.64,,,
1/5/2007 15:45,168.66,,,
